epoch,total_loss,mse_loss,gradient_loss,spectral_loss,learning_rate,epoch_time_sec,best_loss,patience_counter
1,0.699913818359375,0.0,0.0,0.0,0.001,0.0,0.699913818359375,0
2,0.19198919677734375,0.0,0.0,0.0,0.001,0.0,0.19198919677734375,0
3,0.17113961791992188,0.0,0.0,0.0,0.001,0.0,0.17113961791992188,0
4,0.1617224578857422,0.0,0.0,0.0,0.001,0.0,0.1617224578857422,0
5,0.15525090026855468,0.0,0.0,0.0,0.001,0.0,0.15525090026855468,0
6,0.15053939819335938,0.0,0.0,0.0,0.001,0.0,0.15053939819335938,0
7,0.1467848358154297,0.0,0.0,0.0,0.001,0.0,0.1467848358154297,0
8,0.14367127990722656,0.0,0.0,0.0,0.001,0.0,0.14367127990722656,0
9,0.14088230895996093,0.0,0.0,0.0,0.001,0.0,0.14088230895996093,0
10,0.1469193115234375,0.0,0.0,0.0,0.001,0.0,0.14088230895996093,1
11,0.15139515686035157,0.0,0.0,0.0,0.001,0.0,0.14088230895996093,2
12,0.13800286865234376,0.0,0.0,0.0,0.001,0.0,0.13800286865234376,0
13,0.134866455078125,0.0,0.0,0.0,0.001,0.0,0.134866455078125,0
14,0.1323883819580078,0.0,0.0,0.0,0.001,0.0,0.1323883819580078,0
15,0.13041656494140624,0.0,0.0,0.0,0.001,0.0,0.13041656494140624,0
16,0.1285964813232422,0.0,0.0,0.0,0.001,0.0,0.1285964813232422,0
17,0.12704090118408204,0.0,0.0,0.0,0.001,0.0,0.12704090118408204,0
18,0.12547210693359376,0.0,0.0,0.0,0.001,0.0,0.12547210693359376,0
19,0.12410041046142578,0.0,0.0,0.0,0.001,0.0,0.12410041046142578,0
20,0.12271125030517578,0.0,0.0,0.0,0.001,0.0,0.12271125030517578,0
21,0.12154144287109375,0.0,0.0,0.0,0.001,0.0,0.12154144287109375,0
22,0.12039669799804688,0.0,0.0,0.0,0.001,0.0,0.12039669799804688,0
23,0.11932644653320312,0.0,0.0,0.0,0.001,0.0,0.11932644653320312,0
24,0.11831645202636719,0.0,0.0,0.0,0.001,0.0,0.11831645202636719,0
25,0.11730026245117188,0.0,0.0,0.0,0.001,0.0,0.11730026245117188,0
26,0.11632135772705078,0.0,0.0,0.0,0.001,0.0,0.11632135772705078,0
27,0.11587274169921875,0.0,0.0,0.0,0.001,0.0,0.11587274169921875,0
28,0.1143972930908203,0.0,0.0,0.0,0.001,0.0,0.1143972930908203,0
29,0.1135915069580078,0.0,0.0,0.0,0.001,0.0,0.1135915069580078,0
30,0.11294452667236328,0.0,0.0,0.0,0.001,0.0,0.11294452667236328,0
31,0.11225190734863282,0.0,0.0,0.0,0.001,0.0,0.11225190734863282,0
32,0.11135205841064454,0.0,0.0,0.0,0.001,0.0,0.11135205841064454,0
33,0.11103596496582031,0.0,0.0,0.0,0.001,0.0,0.11103596496582031,0
34,0.11027754211425782,0.0,0.0,0.0,0.001,0.0,0.11027754211425782,0
35,0.10956060791015625,0.0,0.0,0.0,0.001,0.0,0.10956060791015625,0
36,0.10912045288085938,0.0,0.0,0.0,0.001,0.0,0.10912045288085938,0
37,0.10860481262207031,0.0,0.0,0.0,0.001,0.0,0.10860481262207031,0
38,0.10818167114257812,0.0,0.0,0.0,0.001,0.0,0.10818167114257812,0
39,0.10753400421142578,0.0,0.0,0.0,0.001,0.0,0.10753400421142578,0
40,0.10691468048095704,0.0,0.0,0.0,0.001,0.0,0.10691468048095704,0
41,0.1062403335571289,0.0,0.0,0.0,0.001,0.0,0.1062403335571289,0
